Comparison,SIMPER,OTU,krusk_p.val,fdr_krusk_p.val,Taxonomy,Left.mean.abund,Left.stdev,Right.mean.abund,Right.stdev
Male_Female,0.063835019,Otu00006,7.41E-05,0.001408412,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,5.21E-05,0.000164702,0.081456904,0.055290712
Pre-treatment_Post-treatment,0.05825013,Otu00023,0.001523821,0.014476301,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0.006047462,0.017027981,0.07915109,0.059428936
Pre-treatment_Post-treatment,0.030035554,Otu00015,0.002765419,0.017514322,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminiclostridium,0.044882071,0.028581201,0.008531908,0.015422205
Pre-treatment_Post-treatment,0.03205444,Otu00003,0.008127025,0.038603367,Tenericutes - Mollicutes - Anaeroplasmatales - Anaeroplasmataceae - Anaeroplasma,0.071097124,0.039191885,0.033837011,0.019212545
Male_Female,0.032853206,Otu00003,0.011298952,0.042936017,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminiclostridium_9,0.07120673,0.040619125,0.033727406,0.015687903
Male_Female,0.055201911,Otu00008,0.019064815,0.060371913,Firmicutes - Bacilli - Lactobacillales - Streptococcaceae - Lactococcus,0.029675502,0.027323272,0.089257371,0.059651971
Pre-treatment_Post-treatment,0.049401677,Otu00008,0.06953745,0.160585446,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.079279403,0.053141211,0.03965347,0.050801682
Pre-treatment_Post-treatment,0.037359261,Otu00013,0.07606679,0.160585446,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.049083854,0.054261152,0.004008002,0.011600319
Male_Female,0.038483645,Otu00013,0.07606679,0.160585446,Firmicutes - Clostridia - Clostridiales - Clostridiales_vadinBB60_group - Clostridiales_vadinBB60_group_ge,0.049083854,0.054261152,0.004008002,0.011600319
Pre-treatment_Post-treatment,0.083277584,Otu00007,0.121824924,0.231467356,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.058235949,0.102558928,0.101626902,0.103826424
Male_Female,0.084679947,Otu00007,0.163788277,0.26011899,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.097880302,0.120780691,0.061982549,0.083906822
Male_Female,0.034327592,Otu00011,0.164285678,0.26011899,Firmicutes - Bacilli - Lactobacillales - Lactobacillaceae - Lactobacillus,0.026168913,0.033638016,0.051955138,0.037267888
Pre-treatment_Post-treatment,0.089200009,Otu00001,0.323925591,0.44377939,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.106934657,0.134523338,0.10886258,0.051480248
Male_Female,0.03875661,Otu00009,0.32699534,0.44377939,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Oscillibacter,0.049332031,0.067594188,0.004708212,0.010661022
Male_Female,0.0863167,Otu00001,0.382878443,0.484979361,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.08832103,0.103430191,0.127476206,0.095912809
Pre-treatment_Post-treatment,0.034099081,Otu00009,0.480354554,0.570421033,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.037591262,0.068701063,0.016448981,0.028648457
Pre-treatment_Post-treatment,0.04272649,Otu00006,0.579052703,0.647176551,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.048681388,0.064397564,0.032827599,0.049517006
Pre-treatment_Post-treatment,0.031413524,Otu00011,0.642934035,0.678652593,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.045103043,0.043442503,0.033021007,0.030355694
Male_Female,0.045095919,Otu00023,0.936831621,0.936831621,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.045830032,0.060883151,0.039368519,0.055324175
